,week,label,split,Engineering,model,nFeatures,F1,Accuracy,truePos,trueNeg,falsePos,falseNeg,predictions,randomSeed
0,2,phq9,10,PCA,XG,1,0.6808510638297872,0.5945945945945946,48,18,30,15,0,0
1,2,phq9,10,PCA,XG,2,0.6344827586206897,0.5225225225225225,46,12,36,17,0,0
2,2,phq9,10,PCA,XG,3,0.68,0.5675675675675675,51,12,36,12,0,0
3,2,phq9,10,PCA,XG,4,0.6973684210526315,0.5855855855855856,53,12,36,10,1,0
4,2,phq9,10,PCA,XG,1,0.5942028985507245,0.4954954954954955,41,14,34,22,1,1
5,2,phq9,10,PCA,XG,2,0.6376811594202899,0.5495495495495496,44,17,31,19,0,1
6,2,phq9,10,PCA,XG,3,0.6131386861313869,0.5225225225225225,42,16,32,21,0,1
7,2,phq9,10,PCA,XG,4,0.5652173913043478,0.4594594594594595,39,12,36,24,0,1
8,2,phq9,10,PCA,XG,1,0.5736434108527131,0.5045045045045045,37,19,29,26,1,2
9,2,phq9,10,PCA,XG,2,0.625,0.5675675675675675,40,23,25,23,1,2
10,2,phq9,10,PCA,XG,3,0.5714285714285714,0.5405405405405406,34,26,22,29,0,2
11,2,phq9,10,PCA,XG,4,0.608,0.5585585585585585,38,24,24,25,0,2
12,2,phq9,10,PCA,XG,1,0.573529411764706,0.4774774774774775,39,14,34,24,1,3
13,2,phq9,10,PCA,XG,2,0.6711409395973155,0.5585585585585585,50,12,36,13,1,3
14,2,phq9,10,PCA,XG,3,0.6,0.4954954954954955,42,13,35,21,1,3
15,2,phq9,10,PCA,XG,4,0.6330935251798561,0.5405405405405406,44,16,32,19,1,3
16,2,phq9,10,PCA,XG,1,0.6190476190476191,0.5675675675675675,39,24,24,24,0,4
17,2,phq9,10,PCA,XG,2,0.6,0.5315315315315315,39,20,28,24,1,4
18,2,phq9,10,PCA,XG,3,0.6388888888888888,0.5315315315315315,46,13,35,17,1,4
19,2,phq9,10,PCA,XG,4,0.6412213740458016,0.5765765765765766,42,22,26,21,1,4
20,2,phq9,10,PCA,XG,1,0.6423357664233577,0.5585585585585585,44,18,30,19,0,5
21,2,phq9,10,PCA,XG,2,0.5384615384615385,0.4594594594594595,35,16,32,28,0,5
22,2,phq9,10,PCA,XG,3,0.5255474452554744,0.4144144144144144,36,10,38,27,0,5
23,2,phq9,10,PCA,XG,4,0.5874125874125874,0.46846846846846846,42,10,38,21,0,5
24,2,phq9,10,PCA,XG,1,0.6713286713286712,0.5765765765765766,48,16,32,15,1,6
25,2,phq9,10,PCA,XG,2,0.6758620689655173,0.5765765765765766,49,15,33,14,0,6
26,2,phq9,10,PCA,XG,3,0.6338028169014085,0.5315315315315315,45,14,34,18,0,6
27,2,phq9,10,PCA,XG,4,0.6530612244897959,0.5405405405405406,48,12,36,15,0,6
28,2,phq9,10,PCA,XG,1,0.6153846153846153,0.5495495495495496,40,21,27,23,0,7
29,2,phq9,10,PCA,XG,2,0.5666666666666667,0.5315315315315315,34,25,23,29,0,7
30,2,phq9,10,PCA,XG,3,0.5254237288135594,0.4954954954954955,31,24,24,32,0,7
31,2,phq9,10,PCA,XG,4,0.6050420168067226,0.5765765765765766,36,28,20,27,0,7
32,2,phq9,10,PCA,XG,1,0.5467625899280575,0.43243243243243246,38,10,38,25,0,8
33,2,phq9,10,PCA,XG,2,0.6382978723404256,0.5405405405405406,45,15,33,18,0,8
34,2,phq9,10,PCA,XG,3,0.6376811594202899,0.5495495495495496,44,17,31,19,0,8
35,2,phq9,10,PCA,XG,4,0.6250000000000001,0.5135135135135135,45,12,36,18,1,8
36,2,phq9,10,PCA,XG,1,0.5555555555555556,0.4954954954954955,35,20,28,28,1,9
37,2,phq9,10,PCA,XG,2,0.4957264957264957,0.46846846846846846,29,23,25,34,1,9
38,2,phq9,10,PCA,XG,3,0.5354330708661418,0.46846846846846846,34,18,30,29,0,9
39,2,phq9,10,PCA,XG,4,0.5196850393700788,0.45045045045045046,33,17,31,30,0,9
40,2,phq9,10,PCA,XG,1,0.5891472868217055,0.5225225225225225,38,20,28,25,1,10
41,2,phq9,10,PCA,XG,2,0.6106870229007633,0.5405405405405406,40,20,28,23,1,10
42,2,phq9,10,PCA,XG,3,0.59375,0.5315315315315315,38,21,27,25,1,10
43,2,phq9,10,PCA,XG,4,0.6376811594202899,0.5495495495495496,44,17,31,19,1,10
44,2,phq9,10,PCA,XG,1,0.5873015873015873,0.5315315315315315,37,22,26,26,1,11
45,2,phq9,10,PCA,XG,2,0.6521739130434783,0.5675675675675675,45,18,30,18,1,11
46,2,phq9,10,PCA,XG,3,0.6466165413533834,0.5765765765765766,43,21,27,20,1,11
47,2,phq9,10,PCA,XG,4,0.6119402985074627,0.5315315315315315,41,18,30,22,1,11
48,2,phq9,10,PCA,XG,1,0.631578947368421,0.5585585585585585,42,20,28,21,0,12
49,2,phq9,10,PCA,XG,2,0.5692307692307692,0.4954954954954955,37,18,30,26,0,12
50,2,phq9,10,PCA,XG,3,0.564885496183206,0.4864864864864865,37,17,31,26,0,12
51,2,phq9,10,PCA,XG,4,0.5581395348837208,0.4864864864864865,36,18,30,27,0,12
52,2,phq9,10,PCA,XG,1,0.6153846153846154,0.5045045045045045,44,12,36,19,1,13
53,2,phq9,10,PCA,XG,2,0.6206896551724138,0.5045045045045045,45,11,37,18,1,13
54,2,phq9,10,PCA,XG,3,0.6578947368421053,0.5315315315315315,50,9,39,13,0,13
55,2,phq9,10,PCA,XG,4,0.6293706293706294,0.5225225225225225,45,13,35,18,0,13
56,2,phq9,10,PCA,XG,1,0.6569343065693432,0.5765765765765766,45,19,29,18,1,14
57,2,phq9,10,PCA,XG,2,0.5839416058394161,0.4864864864864865,40,14,34,23,0,14
58,2,phq9,10,PCA,XG,3,0.5693430656934306,0.46846846846846846,39,13,35,24,1,14
59,2,phq9,10,PCA,XG,4,0.582089552238806,0.4954954954954955,39,16,32,24,1,14
60,2,phq9,10,PCA,XG,1,0.6612903225806451,0.6216216216216216,41,28,20,22,1,15
61,2,phq9,10,PCA,XG,2,0.5166666666666667,0.4774774774774775,31,22,26,32,1,15
62,2,phq9,10,PCA,XG,3,0.5378151260504201,0.5045045045045045,32,24,24,31,1,15
63,2,phq9,10,PCA,XG,4,0.5645161290322581,0.5135135135135135,35,22,26,28,1,15
64,2,phq9,10,PCA,XG,1,0.5378151260504201,0.5045045045045045,32,24,24,31,0,16
65,2,phq9,10,PCA,XG,2,0.5873015873015873,0.5315315315315315,37,22,26,26,1,16
66,2,phq9,10,PCA,XG,3,0.5645161290322581,0.5135135135135135,35,22,26,28,1,16
67,2,phq9,10,PCA,XG,4,0.5468749999999999,0.4774774774774775,35,18,30,28,1,16
68,2,phq9,10,PCA,XG,1,0.5468749999999999,0.4774774774774775,35,18,30,28,0,17
69,2,phq9,10,PCA,XG,2,0.5238095238095238,0.4594594594594595,33,18,30,30,1,17
70,2,phq9,10,PCA,XG,3,0.5039370078740157,0.43243243243243246,32,16,32,31,0,17
71,2,phq9,10,PCA,XG,4,0.60431654676259,0.5045045045045045,42,14,34,21,0,17
72,2,phq9,10,PCA,XG,1,0.5203252032520326,0.46846846846846846,32,20,28,31,1,18
73,2,phq9,10,PCA,XG,2,0.6906474820143885,0.6126126126126126,48,20,28,15,1,18
74,2,phq9,10,PCA,XG,3,0.7183098591549295,0.6396396396396397,51,20,28,12,1,18
75,2,phq9,10,PCA,XG,4,0.6619718309859155,0.5675675675675675,47,16,32,16,1,18
76,2,phq9,10,PCA,XG,1,0.5909090909090909,0.5135135135135135,39,18,30,24,1,19
77,2,phq9,10,PCA,XG,2,0.5496183206106869,0.46846846846846846,36,16,32,27,1,19
78,2,phq9,10,PCA,XG,3,0.5671641791044777,0.4774774774774775,38,15,33,25,0,19
79,2,phq9,10,PCA,XG,4,0.5185185185185186,0.4144144144144144,35,11,37,28,1,19
80,2,phq9,10,PCA,XG,1,0.5396825396825397,0.4774774774774775,34,19,29,29,1,20
81,2,phq9,10,PCA,XG,2,0.6119402985074627,0.5315315315315315,41,18,30,22,1,20
82,2,phq9,10,PCA,XG,3,0.5909090909090909,0.5135135135135135,39,18,30,24,0,20
83,2,phq9,10,PCA,XG,4,0.5384615384615385,0.4594594594594595,35,16,32,28,1,20
84,2,phq9,10,PCA,XG,1,0.6438356164383563,0.5315315315315315,47,12,36,16,1,21
85,2,phq9,10,PCA,XG,2,0.6710526315789473,0.5495495495495496,51,10,38,12,1,21
86,2,phq9,10,PCA,XG,3,0.6666666666666666,0.5405405405405406,51,9,39,12,1,21
87,2,phq9,10,PCA,XG,4,0.5942028985507245,0.4954954954954955,41,14,34,22,0,21
88,2,phq9,10,PCA,XG,1,0.5606060606060606,0.4774774774774775,37,16,32,26,0,22
89,2,phq9,10,PCA,XG,2,0.6293706293706294,0.5225225225225225,45,13,35,18,1,22
90,2,phq9,10,PCA,XG,3,0.5588235294117647,0.4594594594594595,38,13,35,25,1,22
91,2,phq9,10,PCA,XG,4,0.6099290780141844,0.5045045045045045,43,13,35,20,1,22
92,2,phq9,10,PCA,XG,1,0.5846153846153845,0.5135135135135135,38,19,29,25,0,23
93,2,phq9,10,PCA,XG,2,0.5671641791044777,0.4774774774774775,38,15,33,25,0,23
94,2,phq9,10,PCA,XG,3,0.6197183098591548,0.5135135135135135,44,13,35,19,1,23
95,2,phq9,10,PCA,XG,4,0.6474820143884892,0.5585585585585585,45,17,31,18,1,23
96,2,phq9,10,PCA,XG,1,0.6187050359712231,0.5225225225225225,43,15,33,20,1,24
97,2,phq9,10,PCA,XG,2,0.5882352941176471,0.4954954954954955,40,15,33,23,1,24
98,2,phq9,10,PCA,XG,3,0.6060606060606061,0.5315315315315315,40,19,29,23,1,24
99,2,phq9,10,PCA,XG,4,0.5942028985507245,0.4954954954954955,41,14,34,22,1,24
100,2,phq9,10,PCA,XG,1,0.5625,0.4954954954954955,36,19,29,27,0,25
101,2,phq9,10,PCA,XG,2,0.5899280575539567,0.4864864864864865,41,13,35,22,1,25
102,2,phq9,10,PCA,XG,3,0.5694444444444445,0.44144144144144143,41,8,40,22,1,25
103,2,phq9,10,PCA,XG,4,0.5857142857142857,0.4774774774774775,41,12,36,22,1,25
104,2,phq9,10,PCA,XG,1,0.6119402985074627,0.5315315315315315,41,18,30,22,1,26
105,2,phq9,10,PCA,XG,2,0.6323529411764707,0.5495495495495496,43,18,30,20,1,26
106,2,phq9,10,PCA,XG,3,0.6046511627906977,0.5405405405405406,39,21,27,24,1,26
107,2,phq9,10,PCA,XG,4,0.6106870229007633,0.5405405405405406,40,20,28,23,0,26
108,2,phq9,10,PCA,XG,1,0.5942028985507245,0.4954954954954955,41,14,34,22,1,27
109,2,phq9,10,PCA,XG,2,0.6060606060606061,0.5315315315315315,40,19,29,23,1,27
110,2,phq9,10,PCA,XG,3,0.4923076923076923,0.40540540540540543,32,13,35,31,1,27
111,2,phq9,10,PCA,XG,4,0.5671641791044777,0.4774774774774775,38,15,33,25,1,27
112,2,phq9,10,PCA,XG,1,0.5970149253731343,0.5135135135135135,40,17,31,23,0,28
113,2,phq9,10,PCA,XG,2,0.5116279069767442,0.43243243243243246,33,15,33,30,0,28
114,2,phq9,10,PCA,XG,3,0.562962962962963,0.46846846846846846,38,14,34,25,0,28
115,2,phq9,10,PCA,XG,4,0.5652173913043478,0.4594594594594595,39,12,36,24,0,28
116,2,phq9,10,PCA,XG,1,0.5522388059701493,0.4594594594594595,37,14,34,26,1,29
117,2,phq9,10,PCA,XG,2,0.5511811023622047,0.4864864864864865,35,19,29,28,1,29
118,2,phq9,10,PCA,XG,3,0.5714285714285714,0.4594594594594595,40,11,37,23,1,29
119,2,phq9,10,PCA,XG,4,0.5426356589147286,0.46846846846846846,35,17,31,28,0,29
120,2,phq9,10,PCA,XG,1,0.5714285714285714,0.5405405405405406,34,26,22,29,1,30
121,2,phq9,10,PCA,XG,2,0.5,0.42342342342342343,32,15,33,31,1,30
122,2,phq9,10,PCA,XG,3,0.5692307692307692,0.4954954954954955,37,18,30,26,1,30
123,2,phq9,10,PCA,XG,4,0.564885496183206,0.4864864864864865,37,17,31,26,1,30
124,2,phq9,10,PCA,XG,1,0.6764705882352942,0.6036036036036037,46,21,27,17,1,31
125,2,phq9,10,PCA,XG,2,0.6478873239436619,0.5495495495495496,46,15,33,17,0,31
126,2,phq9,10,PCA,XG,3,0.6466165413533834,0.5765765765765766,43,21,27,20,0,31
127,2,phq9,10,PCA,XG,4,0.6717557251908397,0.6126126126126126,44,24,24,19,0,31
