,week,label,split,Engineering,model,nFeatures,F1,Accuracy,truePos,trueNeg,falsePos,falseNeg,predictions,randomSeed
0,2,gad7,7,PCA,XG,1,0.6388888888888888,0.5315315315315315,46,13,34,18,1,0
1,2,gad7,7,PCA,XG,2,0.5857142857142857,0.4774774774774775,41,12,35,23,1,0
2,2,gad7,7,PCA,XG,3,0.6231884057971013,0.5315315315315315,43,16,31,21,1,0
3,2,gad7,7,PCA,XG,4,0.6577181208053692,0.5405405405405406,49,11,36,15,1,0
4,2,gad7,7,PCA,XG,1,0.6571428571428571,0.5675675675675675,46,17,30,18,0,1
5,2,gad7,7,PCA,XG,2,0.6099290780141843,0.5045045045045045,43,13,34,21,1,1
6,2,gad7,7,PCA,XG,3,0.6438356164383561,0.5315315315315315,47,12,35,17,0,1
7,2,gad7,7,PCA,XG,4,0.6,0.4954954954954955,42,13,34,22,0,1
8,2,gad7,7,PCA,XG,1,0.553191489361702,0.43243243243243246,39,9,38,25,1,2
9,2,gad7,7,PCA,XG,2,0.6490066225165564,0.5225225225225225,49,9,38,15,0,2
10,2,gad7,7,PCA,XG,3,0.6753246753246752,0.5495495495495496,52,9,38,12,0,2
11,2,gad7,7,PCA,XG,4,0.6887417218543046,0.5765765765765766,52,12,35,12,0,2
12,2,gad7,7,PCA,XG,1,0.6486486486486486,0.5315315315315315,48,11,36,16,1,3
13,2,gad7,7,PCA,XG,2,0.6206896551724138,0.5045045045045045,45,11,36,19,0,3
14,2,gad7,7,PCA,XG,3,0.6357615894039735,0.5045045045045045,48,8,39,16,0,3
15,2,gad7,7,PCA,XG,4,0.6578947368421052,0.5315315315315315,50,9,38,14,0,3
16,2,gad7,7,PCA,XG,1,0.5196850393700788,0.45045045045045046,33,17,30,31,1,4
17,2,gad7,7,PCA,XG,2,0.6518518518518518,0.5765765765765766,44,20,27,20,1,4
18,2,gad7,7,PCA,XG,3,0.656934306569343,0.5765765765765766,45,19,28,19,1,4
19,2,gad7,7,PCA,XG,4,0.6142857142857142,0.5135135135135135,43,14,33,21,1,4
20,2,gad7,7,PCA,XG,1,0.544,0.4864864864864865,34,20,27,30,1,5
21,2,gad7,7,PCA,XG,2,0.5909090909090909,0.5135135135135135,39,18,29,25,1,5
22,2,gad7,7,PCA,XG,3,0.6176470588235293,0.5315315315315315,42,17,30,22,1,5
23,2,gad7,7,PCA,XG,4,0.6231884057971013,0.5315315315315315,43,16,31,21,1,5
